"","year","group_name","team_id","country_name.x","country_code","matches_played","wins","draws","losses","goals_for","goals_against","goal_difference","points","rank","teams_qualifying","qualified","min_qualifier_points","max_non_qualifier_points","points_gap","tie_at_cutoff","treatment","points_diff","country_name.y","bicc_milper","bicc_milexp","bicc_gmi","wdi_expmil","wdi_pop","wdi_popurb","wdi_birth","wdi_death","wdi_mortinf","wdi_lifexp","wpp_medianage","wpp_sexratio","wdi_export","wdi_import","wdi_gdpcapcon2015","wdi_gdpgr","wdi_area","vdem_polyarchy","ht_colonial","atop_number","wdi_pop_log","v2paseatshare","milex","milex5yb","milex3yb","milex1yb","milex5ya","milex3ya","milex1ya","dmilex","dmilex5yb","dmilex3yb","dmilex1yb","dmilex5ya","dmilex3ya","dmilex1ya"
"33",1958,"Group 4","T-09","Brazil","BRA",3,2,1,0,5,0,5,7,1,1,1,7,7,0,TRUE,1,0,"Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.053,100.696,NA,NA,NA,NA,NA,0.395,7,2,NA,13.2,NA,NA,NA,NA,3.04370907803929,NA,NA,NA,NA,NA,NA,-1.43,NA,NA
"34",1958,"Group 4","T-72","Soviet Union","SUN",4,2,1,1,5,4,1,7,2,1,0,7,7,0,TRUE,0,0,"USSR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,2.39868330737835,4.47513526890496,NA,NA,NA,NA,NA,-0.65,NA,NA
"35",1962,"Group 1","T-72","Soviet Union","SUN",3,2,1,0,8,5,3,7,1,1,1,7,6,1,FALSE,1,1,"USSR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,3.04370907803929,NA,NA,NA,NA,NA,NA,-1.43,NA
"36",1962,"Group 1","T-87","Yugoslavia","YUG",3,2,0,1,8,3,5,6,2,1,0,7,6,1,FALSE,0,-1,"Yugoslavia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,2.39868330737835,4.47513526890496,NA,NA,NA,NA,NA,-0.65,NA
"37",1962,"Group 2","T-86","West Germany","DEU",3,2,1,0,4,1,3,7,1,1,1,7,6,1,FALSE,1,1,"Germany",NA,NA,NA,4.47513526890496,74025784,76.6758651852156,17.8,11.9,NA,69.7992195121951,33.71,87.587,NA,NA,13531.7513663796,4.62347095715678,349130,0.842,0,2,18.1199240229124,NA,4.47513526890496,NA,NA,NA,NA,NA,3.04370907803929,NA,NA,NA,NA,NA,NA,-1.43
"38",1962,"Group 2","T-13","Chile","CHL",3,2,0,1,5,3,2,6,2,1,0,7,6,1,FALSE,0,-1,"Chile",NA,NA,NA,3.04370907803929,8497059,69.4770903697945,34.284,10.64,117,57.811,19.284,100.673,11.0860645266395,12.4990052475001,3391.27067852121,3.93078479110629,743532,0.549,2,2,15.9552306615887,NA,3.04370907803929,NA,NA,4.47513526890496,2.66,NA,2.39868330737835,-1.43,NA,NA,NA,NA,NA,-0.65
"39",1962,"Group 3","T-09","Brazil","BRA",3,2,1,0,4,1,3,7,1,1,1,7,4,3,FALSE,1,3,"Brazil",NA,NA,NA,2.39868330737835,76865323,46.3016845520166,42.698,12.949,120.4,54.017,16.766,100.365,4.00847871772255,5.37637142513745,2838.47197259622,6.59999999999992,8358140,0.407,7,2,18.1575653964926,16.0333333333333,2.39868330737835,NA,NA,3.04370907803929,NA,NA,NA,-0.65,NA,NA,-1.43,NA,NA,NA
"40",1962,"Group 3","T-21","Czechoslovakia","CSK",3,1,1,1,2,3,-1,4,2,1,0,7,4,3,FALSE,0,-3,"Czechoslovakia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,9,NA,NA,NA,NA,4.47513526890496,2.39868330737835,NA,2.66,NA,NA,NA,NA,-0.65,NA,NA,NA
"41",1962,"Group 4","T-36","Hungary","HUN",3,2,1,0,8,2,6,7,1,1,1,7,4,3,FALSE,1,3,"Hungary",NA,NA,NA,NA,10060825,53.7345427094181,12.9,10.8,44,67.8658536585366,31.654,93.419,NA,NA,2296.96408080859,6.09999999999982,90020,0.126,0,7,16.1241597272257,NA,NA,NA,3.04370907803929,NA,3.89118320865712,NA,NA,NA,NA,-1.43,NA,NA,NA,NA
"42",1962,"Group 4","T-28","England","ENG",3,1,1,1,4,3,1,4,2,1,0,7,4,3,FALSE,0,-3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.47513526890496,2.39868330737835,NA,1.168,NA,2.66,NA,NA,-0.65,NA,-2.72,NA,NA
